hour,day_of_week,month,is_weekend,is_holiday,weather_code,road_type_enc,road_type,incident,base_capacity,congestion_pct,travel_mult
14,0,1,0,0,0,0,highway,0,100,70.8,2.062
14,0,1,0,0,0,1,city,0,70,68.2,2.023
14,0,1,0,0,0,2,bypass,0,85,58.7,1.881
15,0,1,0,0,0,0,highway,0,100,20.8,1.312
15,0,1,0,0,0,1,city,0,70,18.1,1.272
15,0,1,0,0,0,2,bypass,0,85,16.6,1.249
16,0,1,0,0,0,0,highway,0,100,24.5,1.368
16,0,1,0,0,0,1,city,0,70,30.3,1.454
16,0,1,0,0,0,2,bypass,0,85,20.0,1.3
17,0,1,0,0,0,0,highway,0,100,98.0,2.47
17,0,1,0,0,0,1,city,0,70,98.0,2.47
17,0,1,0,0,0,2,bypass,0,85,84.5,2.267
18,0,1,0,0,0,0,highway,0,100,98.0,2.47
18,0,1,0,0,0,1,city,0,70,97.0,2.456
18,0,1,0,0,0,2,bypass,0,85,87.5,2.313
19,0,1,0,0,0,0,highway,0,100,78.6,2.179
19,0,1,0,0,0,1,city,0,70,84.5,2.267
19,0,1,0,0,0,2,bypass,0,85,60.5,1.907
20,0,1,0,0,1,0,highway,0,100,98.0,2.543
20,0,1,0,0,1,1,city,0,70,95.7,2.507
20,0,1,0,0,1,2,bypass,0,85,94.7,2.491
21,0,1,0,0,0,0,highway,0,100,33.0,1.496
21,0,1,0,0,0,1,city,0,70,30.3,1.454
21,0,1,0,0,0,2,bypass,0,85,31.4,1.471
22,0,1,0,0,0,0,highway,0,100,39.8,1.597
22,0,1,0,0,0,1,city,0,70,48.2,1.724
22,0,1,0,0,0,2,bypass,0,85,41.5,1.622
23,0,1,0,0,0,0,highway,0,100,39.8,1.597
23,0,1,0,0,0,1,city,0,70,44.2,1.663
23,0,1,0,0,0,2,bypass,0,85,34.6,1.519
0,1,1,0,0,0,0,highway,0,100,5.0,1.075
0,1,1,0,0,0,1,city,0,70,9.4,1.142
0,1,1,0,0,0,2,bypass,0,85,7.4,1.112
1,1,1,0,0,1,0,highway,0,100,9.1,1.143
1,1,1,0,0,1,1,city,0,70,13.4,1.212
1,1,1,0,0,1,2,bypass,0,85,3.4,1.054
2,1,1,0,0,0,0,highway,0,100,9.0,1.135
2,1,1,0,0,0,1,city,0,70,10.0,1.15
2,1,1,0,0,0,2,bypass,0,85,6.5,1.097
3,1,1,0,0,0,0,highway,0,100,7.3,1.11
3,1,1,0,0,0,1,city,0,70,8.1,1.121
3,1,1,0,0,0,2,bypass,0,85,4.6,1.069
4,1,1,0,0,0,0,highway,0,100,5.1,1.076
4,1,1,0,0,0,1,city,0,70,7.1,1.106
4,1,1,0,0,0,2,bypass,0,85,2.0,1.03
5,1,1,0,0,0,0,highway,0,100,13.0,1.194
5,1,1,0,0,0,1,city,0,70,11.0,1.165
5,1,1,0,0,0,2,bypass,0,85,10.5,1.157
6,1,1,0,0,1,0,highway,0,100,62.3,1.98
6,1,1,0,0,1,1,city,0,70,66.8,2.052
6,1,1,0,0,1,2,bypass,0,85,53.3,1.84
7,1,1,0,0,0,0,highway,0,100,51.1,1.767
7,1,1,0,0,0,1,city,0,70,53.3,1.8
7,1,1,0,0,0,2,bypass,0,85,43.6,1.655
8,1,1,0,0,0,0,highway,0,100,98.0,2.47
8,1,1,0,0,0,1,city,0,70,98.0,2.47
8,1,1,0,0,0,2,bypass,0,85,80.1,2.202
9,1,1,0,0,3,0,highway,0,100,98.0,3.279
9,1,1,0,0,3,1,city,0,70,98.0,3.279
9,1,1,0,0,3,2,bypass,0,85,98.0,3.279
10,1,1,0,0,3,0,highway,0,100,96.5,3.243
10,1,1,0,0,3,1,city,0,70,98.0,3.279
10,1,1,0,0,3,2,bypass,0,85,92.7,3.155
11,1,1,0,0,1,0,highway,0,100,35.8,1.564
11,1,1,0,0,1,1,city,0,70,34.8,1.549
11,1,1,0,0,1,2,bypass,0,85,31.2,1.491
12,1,1,0,0,0,0,highway,0,100,51.2,1.769
12,1,1,0,0,0,1,city,0,70,63.5,1.952
12,1,1,0,0,0,2,bypass,0,85,49.5,1.743
13,1,1,0,0,0,0,highway,0,100,51.7,1.775
13,1,1,0,0,0,1,city,0,70,52.3,1.784
13,1,1,0,0,0,2,bypass,0,85,43.0,1.645
14,1,1,0,0,1,0,highway,0,100,53.9,1.849
14,1,1,0,0,1,1,city,0,70,60.7,1.956
14,1,1,0,0,1,2,bypass,0,85,43.7,1.689
15,1,1,0,0,0,0,highway,0,100,35.4,1.532
15,1,1,0,0,0,1,city,0,70,47.7,1.715
15,1,1,0,0,0,2,bypass,0,85,32.8,1.493
16,1,1,0,0,0,0,highway,0,100,49.0,1.735
16,1,1,0,0,0,1,city,0,70,56.9,1.853
16,1,1,0,0,0,2,bypass,0,85,46.1,1.692
17,1,1,0,0,0,0,highway,0,100,97.3,2.459
17,1,1,0,0,0,1,city,0,70,91.7,2.375
17,1,1,0,0,0,2,bypass,0,85,86.9,2.303
18,1,1,0,0,0,0,highway,0,100,96.2,2.443
18,1,1,0,0,0,1,city,0,70,91.3,2.37
18,1,1,0,0,0,2,bypass,0,85,81.5,2.223
19,1,1,0,0,2,0,highway,0,100,97.9,2.982
19,1,1,0,0,2,1,city,0,70,98.0,2.985
19,1,1,0,0,2,2,bypass,0,85,98.0,2.985
20,1,1,0,0,0,0,highway,0,100,97.2,2.458
20,1,1,0,0,0,1,city,0,70,98.0,2.47
20,1,1,0,0,0,2,bypass,0,85,87.5,2.312
21,1,1,0,0,1,0,highway,0,100,27.8,1.438
21,1,1,0,0,1,1,city,0,70,36.6,1.576
21,1,1,0,0,1,2,bypass,0,85,31.7,1.5
22,1,1,0,0,0,0,highway,0,100,42.4,1.636
22,1,1,0,0,0,1,city,0,70,44.4,1.666
22,1,1,0,0,0,2,bypass,0,85,33.6,1.504
23,1,1,0,0,0,0,highway,0,100,53.9,1.809
23,1,1,0,0,0,1,city,0,70,50.9,1.764
23,1,1,0,0,0,2,bypass,0,85,40.2,1.603
0,2,1,0,0,0,0,highway,0,100,6.7,1.1
0,2,1,0,0,0,1,city,0,70,7.1,1.106
0,2,1,0,0,0,2,bypass,0,85,3.3,1.049
1,2,1,0,0,0,0,highway,0,100,5.7,1.086
1,2,1,0,0,0,1,city,0,70,7.5,1.112
1,2,1,0,0,0,2,bypass,0,85,4.5,1.068
2,2,1,0,0,2,0,highway,0,100,13.1,1.264
2,2,1,0,0,2,1,city,0,70,2.0,1.04
2,2,1,0,0,2,2,bypass,0,85,10.1,1.204
3,2,1,0,0,1,0,highway,0,100,10.1,1.159
3,2,1,0,0,1,1,city,0,70,10.4,1.164
3,2,1,0,0,1,2,bypass,0,85,15.6,1.246
4,2,1,0,0,2,0,highway,0,100,13.5,1.274
4,2,1,0,0,2,1,city,0,70,22.5,1.457
4,2,1,0,0,2,2,bypass,0,85,20.0,1.404
5,2,1,0,0,3,0,highway,0,100,7.1,1.166
5,2,1,0,0,3,1,city,0,70,11.9,1.277
5,2,1,0,0,3,2,bypass,0,85,9.2,1.214
6,2,1,0,0,1,0,highway,0,100,50.3,1.793
6,2,1,0,0,1,1,city,0,70,59.2,1.932
6,2,1,0,0,1,2,bypass,0,85,44.5,1.701
7,2,1,0,0,3,0,highway,0,100,78.8,2.833
7,2,1,0,0,3,1,city,0,70,84.7,2.97
7,2,1,0,0,3,2,bypass,0,85,70.8,2.646
8,2,1,0,0,0,0,highway,0,100,80.6,2.209
8,2,1,0,0,0,1,city,0,70,90.1,2.352
8,2,1,0,0,0,2,bypass,0,85,74.2,2.113
9,2,1,0,0,0,0,highway,0,100,94.7,2.421
9,2,1,0,0,0,1,city,0,70,95.9,2.438
9,2,1,0,0,0,2,bypass,0,85,87.5,2.313
10,2,1,0,0,0,0,highway,0,100,98.0,2.47
10,2,1,0,0,0,1,city,0,70,97.6,2.464
10,2,1,0,0,0,2,bypass,0,85,92.4,2.386
11,2,1,0,0,0,0,highway,1,100,27.9,1.418
11,2,1,0,0,0,1,city,1,70,37.1,1.557
11,2,1,0,0,0,2,bypass,1,85,27.6,1.414
12,2,1,0,0,0,0,highway,0,100,66.5,1.997
12,2,1,0,0,0,1,city,0,70,73.7,2.105
12,2,1,0,0,0,2,bypass,0,85,58.0,1.869
13,2,1,0,0,0,0,highway,0,100,65.9,1.988
13,2,1,0,0,0,1,city,0,70,71.8,2.077
13,2,1,0,0,0,2,bypass,0,85,49.2,1.738
14,2,1,0,0,1,0,highway,0,100,65.5,2.032
14,2,1,0,0,1,1,city,0,70,77.3,2.217
14,2,1,0,0,1,2,bypass,0,85,60.3,1.95
15,2,1,0,0,0,0,highway,0,100,35.9,1.538
15,2,1,0,0,0,1,city,0,70,45.4,1.681
15,2,1,0,0,0,2,bypass,0,85,38.2,1.573
16,2,1,0,0,0,0,highway,0,100,40.5,1.607
16,2,1,0,0,0,1,city,0,70,51.6,1.774
16,2,1,0,0,0,2,bypass,0,85,39.5,1.593
17,2,1,0,0,0,0,highway,0,100,89.1,2.336
17,2,1,0,0,0,1,city,0,70,98.0,2.47
17,2,1,0,0,0,2,bypass,0,85,73.0,2.095
18,2,1,0,0,0,0,highway,0,100,92.7,2.39
18,2,1,0,0,0,1,city,0,70,98.0,2.47
18,2,1,0,0,0,2,bypass,0,85,85.1,2.277
19,2,1,0,0,1,0,highway,0,100,96.3,2.517
19,2,1,0,0,1,1,city,0,70,95.5,2.504
19,2,1,0,0,1,2,bypass,0,85,87.2,2.373
20,2,1,0,0,0,0,highway,1,100,95.9,2.439
20,2,1,0,0,0,1,city,1,70,98.0,2.47
20,2,1,0,0,0,2,bypass,1,85,98.0,2.47
21,2,1,0,0,2,0,highway,0,100,63.2,2.28
21,2,1,0,0,2,1,city,0,70,73.8,2.494
21,2,1,0,0,2,2,bypass,0,85,56.9,2.152
22,2,1,0,0,1,0,highway,0,100,49.0,1.772
22,2,1,0,0,1,1,city,0,70,60.1,1.947
22,2,1,0,0,1,2,bypass,0,85,47.7,1.751
23,2,1,0,0,0,0,highway,0,100,53.0,1.795
23,2,1,0,0,0,1,city,0,70,53.0,1.795
23,2,1,0,0,0,2,bypass,0,85,41.5,1.623
0,3,1,0,0,0,0,highway,0,100,5.5,1.082
0,3,1,0,0,0,1,city,0,70,5.8,1.088
0,3,1,0,0,0,2,bypass,0,85,6.7,1.1
1,3,1,0,0,1,0,highway,0,100,5.5,1.087
1,3,1,0,0,1,1,city,0,70,14.0,1.221
1,3,1,0,0,1,2,bypass,0,85,5.7,1.09
2,3,1,0,0,1,0,highway,0,100,2.6,1.04
2,3,1,0,0,1,1,city,0,70,2.7,1.042
2,3,1,0,0,1,2,bypass,0,85,2.0,1.032
3,3,1,0,0,1,0,highway,0,100,15.1,1.238
3,3,1,0,0,1,1,city,0,70,12.2,1.193
3,3,1,0,0,1,2,bypass,0,85,16.7,1.263
4,3,1,0,0,1,0,highway,0,100,5.8,1.091
4,3,1,0,0,1,1,city,0,70,6.5,1.103
4,3,1,0,0,1,2,bypass,0,85,8.8,1.138
5,3,1,0,0,0,0,highway,0,100,9.4,1.142
5,3,1,0,0,0,1,city,0,70,12.9,1.193
5,3,1,0,0,0,2,bypass,0,85,5.1,1.077
6,3,1,0,0,1,0,highway,0,100,57.2,1.901
6,3,1,0,0,1,1,city,0,70,65.2,2.027
6,3,1,0,0,1,2,bypass,0,85,51.1,1.804
7,3,1,0,0,0,0,highway,0,100,48.3,1.724
7,3,1,0,0,0,1,city,0,70,47.6,1.714
7,3,1,0,0,0,2,bypass,0,85,36.0,1.54
8,3,1,0,0,3,0,highway,0,100,98.0,3.279
8,3,1,0,0,3,1,city,0,70,98.0,3.279
8,3,1,0,0,3,2,bypass,0,85,94.9,3.206
9,3,1,0,0,1,0,highway,0,100,91.5,2.442
9,3,1,0,0,1,1,city,0,70,96.2,2.515
9,3,1,0,0,1,2,bypass,0,85,75.5,2.189
10,3,1,0,0,1,0,highway,0,100,91.3,2.438
10,3,1,0,0,1,1,city,0,70,98.0,2.543
10,3,1,0,0,1,2,bypass,0,85,84.1,2.325
11,3,1,0,0,0,0,highway,0,100,38.1,1.571
11,3,1,0,0,0,1,city,0,70,42.0,1.63
11,3,1,0,0,0,2,bypass,0,85,31.4,1.471
12,3,1,0,0,0,0,highway,0,100,47.2,1.708
12,3,1,0,0,0,1,city,0,70,48.2,1.722
12,3,1,0,0,0,2,bypass,0,85,35.3,1.529
13,3,1,0,0,0,0,highway,1,100,77.3,2.159
13,3,1,0,0,0,1,city,1,70,79.9,2.198
13,3,1,0,0,0,2,bypass,1,85,57.4,1.86
14,3,1,0,0,1,0,highway,0,100,71.7,2.129
14,3,1,0,0,1,1,city,0,70,79.9,2.258
14,3,1,0,0,1,2,bypass,0,85,58.8,1.926
15,3,1,0,0,1,0,highway,0,100,40.1,1.632
15,3,1,0,0,1,1,city,0,70,38.0,1.598
15,3,1,0,0,1,2,bypass,0,85,35.2,1.555
16,3,1,0,0,1,0,highway,0,100,12.4,1.195
16,3,1,0,0,1,1,city,0,70,28.0,1.441
16,3,1,0,0,1,2,bypass,0,85,15.3,1.241
17,3,1,0,0,0,0,highway,0,100,79.1,2.187
17,3,1,0,0,0,1,city,0,70,91.9,2.378
17,3,1,0,0,0,2,bypass,0,85,67.2,2.008
18,3,1,0,0,0,0,highway,0,100,95.0,2.425
18,3,1,0,0,0,1,city,0,70,97.9,2.468
18,3,1,0,0,0,2,bypass,0,85,90.9,2.364
19,3,1,0,0,1,0,highway,0,100,83.4,2.313
19,3,1,0,0,1,1,city,0,70,93.9,2.479
19,3,1,0,0,1,2,bypass,0,85,73.1,2.151
20,3,1,0,0,1,0,highway,0,100,98.0,2.543
20,3,1,0,0,1,1,city,0,70,96.4,2.519
20,3,1,0,0,1,2,bypass,0,85,92.0,2.449
21,3,1,0,0,0,0,highway,0,100,42.3,1.635
21,3,1,0,0,0,1,city,0,70,44.3,1.664
21,3,1,0,0,0,2,bypass,0,85,33.8,1.507
22,3,1,0,0,1,0,highway,0,100,31.4,1.495
22,3,1,0,0,1,1,city,0,70,33.0,1.52
22,3,1,0,0,1,2,bypass,0,85,28.2,1.444
23,3,1,0,0,0,0,highway,0,100,43.7,1.656
23,3,1,0,0,0,1,city,0,70,53.5,1.802
23,3,1,0,0,0,2,bypass,0,85,35.4,1.531
0,4,1,0,0,0,0,highway,0,100,8.4,1.126
0,4,1,0,0,0,1,city,0,70,9.1,1.136
0,4,1,0,0,0,2,bypass,0,85,2.0,1.03
1,4,1,0,0,0,0,highway,0,100,10.6,1.16
1,4,1,0,0,0,1,city,0,70,8.7,1.131
1,4,1,0,0,0,2,bypass,0,85,8.7,1.131
2,4,1,0,0,0,0,highway,0,100,10.9,1.163
2,4,1,0,0,0,1,city,0,70,12.3,1.185
2,4,1,0,0,0,2,bypass,0,85,8.0,1.121
3,4,1,0,0,0,0,highway,0,100,4.3,1.064
3,4,1,0,0,0,1,city,0,70,6.2,1.092
3,4,1,0,0,0,2,bypass,0,85,6.3,1.095
4,4,1,0,0,0,0,highway,0,100,7.4,1.111
4,4,1,0,0,0,1,city,0,70,8.0,1.12
4,4,1,0,0,0,2,bypass,0,85,6.5,1.097
5,4,1,0,0,1,0,highway,0,100,6.4,1.101
5,4,1,0,0,1,1,city,0,70,11.2,1.177
5,4,1,0,0,1,2,bypass,0,85,7.5,1.118
6,4,1,0,0,1,0,highway,0,100,54.1,1.852
6,4,1,0,0,1,1,city,0,70,52.8,1.831
6,4,1,0,0,1,2,bypass,0,85,47.6,1.749
7,4,1,0,0,1,0,highway,0,100,50.9,1.802
7,4,1,0,0,1,1,city,0,70,61.7,1.971
7,4,1,0,0,1,2,bypass,0,85,45.8,1.722
8,4,1,0,0,3,0,highway,0,100,98.0,3.278
8,4,1,0,0,3,1,city,0,70,98.0,3.279
8,4,1,0,0,3,2,bypass,0,85,93.7,3.179
9,4,1,0,0,0,0,highway,0,100,77.4,2.16
9,4,1,0,0,0,1,city,0,70,94.5,2.417
9,4,1,0,0,0,2,bypass,0,85,72.8,2.092
10,4,1,0,0,1,0,highway,0,100,98.0,2.543
10,4,1,0,0,1,1,city,0,70,98.0,2.543
10,4,1,0,0,1,2,bypass,0,85,90.0,2.418
11,4,1,0,0,1,0,highway,0,100,31.8,1.501
11,4,1,0,0,1,1,city,0,70,36.8,1.58
11,4,1,0,0,1,2,bypass,0,85,27.4,1.431
12,4,1,0,0,0,0,highway,0,100,62.2,1.933
12,4,1,0,0,0,1,city,0,70,78.4,2.175
12,4,1,0,0,0,2,bypass,0,85,59.7,1.896
13,4,1,0,0,0,0,highway,0,100,39.3,1.59
13,4,1,0,0,0,1,city,0,70,50.2,1.753
13,4,1,0,0,0,2,bypass,0,85,38.3,1.575
14,4,1,0,0,0,0,highway,0,100,48.4,1.727
14,4,1,0,0,0,1,city,0,70,58.2,1.873
14,4,1,0,0,0,2,bypass,0,85,39.1,1.587
15,4,1,0,0,0,0,highway,0,100,27.2,1.407
15,4,1,0,0,0,1,city,0,70,31.3,1.469
15,4,1,0,0,0,2,bypass,0,85,21.3,1.32
16,4,1,0,0,2,0,highway,0,100,34.0,1.688
16,4,1,0,0,2,1,city,0,70,32.6,1.661
16,4,1,0,0,2,2,bypass,0,85,32.9,1.667
17,4,1,0,0,1,0,highway,0,100,96.7,2.523
17,4,1,0,0,1,1,city,0,70,94.3,2.485
17,4,1,0,0,1,2,bypass,0,85,80.5,2.268
18,4,1,0,0,1,0,highway,0,100,91.4,2.44
18,4,1,0,0,1,1,city,0,70,98.0,2.543
18,4,1,0,0,1,2,bypass,0,85,80.5,2.268
19,4,1,0,0,1,0,highway,0,100,94.5,2.489
19,4,1,0,0,1,1,city,0,70,93.5,2.473
19,4,1,0,0,1,2,bypass,0,85,88.4,2.393
20,4,1,0,0,1,0,highway,0,100,98.0,2.543
20,4,1,0,0,1,1,city,0,70,98.0,2.543
20,4,1,0,0,1,2,bypass,0,85,84.7,2.334
21,4,1,0,0,0,0,highway,0,100,40.5,1.607
21,4,1,0,0,0,1,city,0,70,40.1,1.602
21,4,1,0,0,0,2,bypass,0,85,32.3,1.485
22,4,1,0,0,1,0,highway,0,100,40.4,1.636
22,4,1,0,0,1,1,city,0,70,46.7,1.736
22,4,1,0,0,1,2,bypass,0,85,33.3,1.524
23,4,1,0,0,0,0,highway,0,100,43.1,1.647
23,4,1,0,0,0,1,city,0,70,58.0,1.87
23,4,1,0,0,0,2,bypass,0,85,40.1,1.602
0,5,1,1,0,1,0,highway,0,100,26.5,1.418
0,5,1,1,0,1,1,city,0,70,26.6,1.419
0,5,1,1,0,1,2,bypass,0,85,16.1,1.253
1,5,1,1,0,1,0,highway,0,100,9.9,1.156
1,5,1,1,0,1,1,city,0,70,15.6,1.246
1,5,1,1,0,1,2,bypass,0,85,12.0,1.189
2,5,1,1,0,0,0,highway,0,100,11.7,1.176
2,5,1,1,0,0,1,city,0,70,11.9,1.178
2,5,1,1,0,0,2,bypass,0,85,12.7,1.191
3,5,1,1,0,0,0,highway,0,100,10.2,1.154
3,5,1,1,0,0,1,city,0,70,8.1,1.121
3,5,1,1,0,0,2,bypass,0,85,4.6,1.069
4,5,1,1,0,0,0,highway,0,100,17.2,1.259
4,5,1,1,0,0,1,city,0,70,19.9,1.299
4,5,1,1,0,0,2,bypass,0,85,16.0,1.24
5,5,1,1,0,1,0,highway,0,100,14.9,1.235
5,5,1,1,0,1,1,city,0,70,13.6,1.214
5,5,1,1,0,1,2,bypass,0,85,14.9,1.234
6,5,1,1,0,3,0,highway,0,100,33.7,1.783
6,5,1,1,0,3,1,city,0,70,39.1,1.909
6,5,1,1,0,3,2,bypass,0,85,30.5,1.709
7,5,1,1,0,3,0,highway,1,100,33.3,1.774
7,5,1,1,0,3,1,city,1,70,32.1,1.745
7,5,1,1,0,3,2,bypass,1,85,26.4,1.614
8,5,1,1,0,0,0,highway,0,100,21.7,1.326
8,5,1,1,0,0,1,city,0,70,28.7,1.43
8,5,1,1,0,0,2,bypass,0,85,23.4,1.352
9,5,1,1,0,1,0,highway,0,100,5.7,1.09
9,5,1,1,0,1,1,city,0,70,2.7,1.043
9,5,1,1,0,1,2,bypass,0,85,5.2,1.082
10,5,1,1,0,1,0,highway,0,100,46.1,1.727
10,5,1,1,0,1,1,city,0,70,44.0,1.694
10,5,1,1,0,1,2,bypass,0,85,39.6,1.623
11,5,1,1,0,0,0,highway,0,100,40.0,1.6
11,5,1,1,0,0,1,city,0,70,44.7,1.67
11,5,1,1,0,0,2,bypass,0,85,34.3,1.514
12,5,1,1,0,0,0,highway,0,100,34.4,1.516
12,5,1,1,0,0,1,city,0,70,42.5,1.638
12,5,1,1,0,0,2,bypass,0,85,33.8,1.507
13,5,1,1,0,0,0,highway,0,100,27.0,1.406
13,5,1,1,0,0,1,city,0,70,30.0,1.45
13,5,1,1,0,0,2,bypass,0,85,25.5,1.383
14,5,1,1,0,2,0,highway,0,100,37.7,1.764
14,5,1,1,0,2,1,city,0,70,37.6,1.762
14,5,1,1,0,2,2,bypass,0,85,34.5,1.698
15,5,1,1,0,0,0,highway,0,100,6.0,1.089
15,5,1,1,0,0,1,city,0,70,10.5,1.158
15,5,1,1,0,0,2,bypass,0,85,9.8,1.147
16,5,1,1,0,0,0,highway,0,100,12.6,1.189
16,5,1,1,0,0,1,city,0,70,15.7,1.235
16,5,1,1,0,0,2,bypass,0,85,12.2,1.183
17,5,1,1,0,1,0,highway,0,100,10.7,1.169
17,5,1,1,0,1,1,city,0,70,10.9,1.172
17,5,1,1,0,1,2,bypass,0,85,12.8,1.202
18,5,1,1,0,0,0,highway,0,100,51.2,1.768
18,5,1,1,0,0,1,city,0,70,64.3,1.964
18,5,1,1,0,0,2,bypass,0,85,44.2,1.663
19,5,1,1,0,2,0,highway,0,100,60.1,2.217
19,5,1,1,0,2,1,city,0,70,65.9,2.334
19,5,1,1,0,2,2,bypass,0,85,55.9,2.132
20,5,1,1,0,2,0,highway,0,100,54.1,2.096
20,5,1,1,0,2,1,city,0,70,66.7,2.35
20,5,1,1,0,2,2,bypass,0,85,51.7,2.046
21,5,1,1,0,0,0,highway,0,100,56.2,1.843
21,5,1,1,0,0,1,city,0,70,56.1,1.842
21,5,1,1,0,0,2,bypass,0,85,45.7,1.686
22,5,1,1,0,0,0,highway,0,100,47.3,1.71
22,5,1,1,0,0,1,city,0,70,53.0,1.796
22,5,1,1,0,0,2,bypass,0,85,44.2,1.664
23,5,1,1,0,0,0,highway,0,100,17.5,1.262
23,5,1,1,0,0,1,city,0,70,17.7,1.265
23,5,1,1,0,0,2,bypass,0,85,16.7,1.25
0,6,1,1,0,0,0,highway,0,100,31.2,1.468
0,6,1,1,0,0,1,city,0,70,23.0,1.346
0,6,1,1,0,0,2,bypass,0,85,19.8,1.297
1,6,1,1,0,0,0,highway,0,100,23.6,1.354
1,6,1,1,0,0,1,city,0,70,30.7,1.461
1,6,1,1,0,0,2,bypass,0,85,21.5,1.322
2,6,1,1,0,1,0,highway,0,100,9.5,1.149
2,6,1,1,0,1,1,city,0,70,11.2,1.176
2,6,1,1,0,1,2,bypass,0,85,11.0,1.174
3,6,1,1,0,0,0,highway,0,100,9.1,1.136
3,6,1,1,0,0,1,city,0,70,11.3,1.169
3,6,1,1,0,0,2,bypass,0,85,12.2,1.184
4,6,1,1,0,0,0,highway,0,100,5.6,1.084
4,6,1,1,0,0,1,city,0,70,10.9,1.164
4,6,1,1,0,0,2,bypass,0,85,6.9,1.104
5,6,1,1,0,0,0,highway,0,100,23.0,1.344
5,6,1,1,0,0,1,city,0,70,24.7,1.37
5,6,1,1,0,0,2,bypass,0,85,22.0,1.33
6,6,1,1,0,3,0,highway,0,100,22.0,1.51
6,6,1,1,0,3,1,city,0,70,7.3,1.171
6,6,1,1,0,3,2,bypass,0,85,11.9,1.277
7,6,1,1,0,0,0,highway,0,100,9.0,1.135
7,6,1,1,0,0,1,city,0,70,14.4,1.216
7,6,1,1,0,0,2,bypass,0,85,13.0,1.196
8,6,1,1,0,0,0,highway,0,100,11.8,1.178
8,6,1,1,0,0,1,city,0,70,18.7,1.28
8,6,1,1,0,0,2,bypass,0,85,17.4,1.261
9,6,1,1,0,1,0,highway,0,100,20.4,1.322
9,6,1,1,0,1,1,city,0,70,29.8,1.469
9,6,1,1,0,1,2,bypass,0,85,24.3,1.383
10,6,1,1,0,3,0,highway,0,100,56.2,2.307
10,6,1,1,0,3,1,city,0,70,59.5,2.384
10,6,1,1,0,3,2,bypass,0,85,48.2,2.121
11,6,1,1,0,0,0,highway,0,100,69.0,2.035
11,6,1,1,0,0,1,city,0,70,68.4,2.027
11,6,1,1,0,0,2,bypass,0,85,55.1,1.826
12,6,1,1,0,1,0,highway,0,100,46.1,1.727
12,6,1,1,0,1,1,city,0,70,51.5,1.811
12,6,1,1,0,1,2,bypass,0,85,42.0,1.662
13,6,1,1,0,1,0,highway,0,100,49.4,1.778
13,6,1,1,0,1,1,city,0,70,59.2,1.933
13,6,1,1,0,1,2,bypass,0,85,47.6,1.75
14,6,1,1,0,0,0,highway,0,100,49.1,1.737
14,6,1,1,0,0,1,city,0,70,57.3,1.859
14,6,1,1,0,0,2,bypass,0,85,41.7,1.626
15,6,1,1,0,1,0,highway,0,100,14.9,1.235
